date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-04-26,17.85,73.0032540070352,77,28,62,6,16,-34,-59,-68,-36,-69
2020-04-27,19.5,62.9343959665216,68,23,79,8,26,-59,-65,-59,-35,-67
2020-04-28,20.6,44.1034182245476,53,26,64,10,22,-61,-66,-61,-35,-67
2020-04-29,22.4,48.3685765423316,56,27,62,11,28,-61,-65,-61,-29,-66
2020-04-30,20.6,48.464849897629,59,29,72,10,26,-60,-62,-61,-23,-61
2020-05-01,15.55,69.0125852338109,59,19,60,10,34,-72,-72,-66,-31,-72
2020-05-02,14.5,78.3819448130629,51,27,85,11,21,-40,-60,-63,-28,-68
2020-05-03,22.7,47.2103833050367,68,21,80,6,15,-33,-59,-67,-33,-68
2020-05-04,26.4,34.1652060301719,56,24,68,7,26,-60,-64,-59,-30,-66
2020-05-05,24.05,44.8417386769968,54,29,70,8,28,-64,-67,-64,-34,-68
2020-05-06,24.5,44.6371979018679,61,23,87,7,29,-63,-67,-64,-35,-69
2020-05-07,18.35,73.0221977109562,64,25,44,15,30,-64,-68,-64,-35,-69
2020-05-08,19.8,60.4386055971999,71,27,62,8,32,-61,-67,-65,-36,-70
2020-05-09,19.7,59.7038461154308,77,41,68,10,22,-41,-61,-68,-33,-69
2020-05-10,18.7,68.9912967579529,100,30,80,7,15,-29,-60,-70,-37,-67
2020-05-11,22.8,54.9787648748952,83,29,76,10,27,-61,-66,-64,-39,-69
2020-05-12,18.8,67.3010741193524,78,33,70,8,28,-62,-67,-62,-35,-67
2020-05-13,25.4,43.8755847568322,88,36,65,8,29,-62,-67,-62,-34,-67
2020-05-14,22,44.656094854682,95,44,74,9,29,-62,-66,-63,-33,-67
2020-05-16,24.3,47.2775220478771,131,35,48,5,21,-37,-58,-64,-28,-66
2020-05-17,23.3,48.208872639381,90,38,83,6,16,-31,-58,-67,-33,-67
2020-05-18,24.35,49.868780483702,99,50,91,8,26,-59,-63,-60,-31,-65
2020-05-23,23.45,58.3049767600256,86,30,81,9,21,-34,-58,-64,-29,-70
2020-05-24,23.2,54.8510946201998,72,29,68,6,16,-28,-57,-66,-34,-70
2020-05-25,24.5,42.2797803747884,74,33,81,9,26,-58,-62,-58,-29,-67
2020-05-26,25.4,27.9443341257259,76,29,85,11,27,-59,-65,-60,-31,-68
2020-05-27,23.9,38.7700810144134,70,48,102,14,28,-59,-65,-61,-33,-69
2020-05-28,23.6,36.1413770872663,109,39,87,14,28,-60,-65,-62,-32,-69
2020-05-29,19.5,53.9140316039329,85,22,58,11,29,-55,-62,-60,-24,-68
2020-05-30,17.1,65.7074281863356,55,19,52,9,19,-27,-55,-62,-22,-66
2020-05-31,20.6,57.9723170386397,50,21,64,9,14,-21,-54,-67,-28,-68
2020-06-01,15.65,81.0374196938809,59,27,66,9,24,-54,-59,-55,-20,-64
2020-06-02,19.9,58.6717585626367,68,29,56,10,26,-57,-61,-56,-23,-65
2020-06-03,18.7,66.0763979620736,70,15,24,6,27,-57,-61,-56,-25,-66
2020-06-04,23,51.0400701347408,31,21,45,8,27,-57,-61,-57,-26,-67
2020-06-05,21.6,52.458174944789,45,21,56,7,28,-53,-61,-58,-24,-67
2020-06-06,26.4,47.6944418812232,54,23,60,8,19,-27,-54,-60,-23,-66
2020-06-07,25.4,59.0284034843946,53,18,52,6,15,-21,-54,-64,-30,-68
2020-06-08,22.2,65.1760208228959,45,15,75,7,24,-54,-59,-57,-29,-65
2020-06-09,23.2,44.4597431824791,44,19,75,9,26,-56,-62,-58,-29,-65
2020-06-10,22.4,49.1588069171004,50,25,62,10,26,-55,-60,-54,-25,-63
2020-06-11,17.2,70.3842485834959,50,21,41,9,26,-56,-61,-56,-26,-64
2020-06-12,17.8,53.6586214856268,47,17,37,7,27,-51,-59,-55,-22,-65
2020-06-13,19,56.20854806872,29,19,52,8,18,-22,-52,-55,-19,-63
2020-06-14,20.2,60.3182797510224,38,29,65,7,13,-14,-51,-57,-25,-64
2020-06-15,22.05,55.9964748840086,74,31,70,11,23,-51,-55,-47,-19,-58
2020-06-16,19.8,54.966420117928,76,36,92,11,24,-53,-57,-48,-19,-59
2020-06-17,21,52.3934882492358,79,39,80,12,25,-53,-57,-48,-19,-60
2020-06-18,22.3,48.2855519173727,87,27,58,10,25,-54,-58,-50,-21,-61
2020-06-19,21.9,48.5253267447804,64,17,120,9,24,-50,-56,-51,-19,-63
2020-06-20,25.1,48.3092181490175,49,32,73,5,17,-20,-50,-55,-19,-62
2020-06-22,16.3,81.3649863374547,66,26,45,19,23,-54,-57,-55,-28,-62
2020-06-23,21.2,50.6034429839953,68,13,51,10,24,-54,-59,-51,-27,-62
2020-06-24,19.1,61.7861164385133,41,10,33,11,25,-53,-57,-52,-23,-61
2020-06-25,19.8,62.158076357557,35,9,25,10,25,-53,-57,-53,-23,-61
2020-06-26,21.3,57.4657980159433,27,14,34,11,26,-49,-56,-50,-20,-62
2020-06-27,21.3,62.4768639605552,38,25,81,7,16,-20,-49,-51,-19,-62
2020-06-28,22.7,56.0821912649684,58,29,58,6,12,-11,-48,-53,-24,-63
2020-06-29,21.85,53.8623044054456,62,31,62,10,22,-50,-54,-49,-21,-56
2020-06-30,21.3,56.1413844839322,71,22,82,10,22,-51,-54,-45,-13,-52
2020-07-01,20.4,61.0429065007144,59,18,59,9,22,-51,-53,-46,-13,-52
2020-07-02,21.2,53.6015778265967,48,42,75,11,22,-52,-53,-45,-15,-53
2020-07-03,18.9,56.7150237033735,97,42,58,9,23,-48,-52,-48,-15,-56
2020-07-04,20.2,57.583635647937,94,26,67,9,15,-18,-45,-51,-16,-56
2020-07-05,19.1,67.0944602079645,74,NaN,58,6,11,-11,-44,-55,-22,-57
2020-07-06,17.6,78.2650353043336,NaN,NaN,49,11,21,-50,-51,-46,-20,-53
2020-07-07,21.9,48.509575691105,NaN,NaN,35,9,22,-52,-54,-45,-19,-53
2020-07-08,20.3,54.6584647477008,NaN,7,19,10,22,-51,-53,-46,-20,-52
2020-07-09,19.1,62.3337198923008,20,17,62,15,23,-51,-53,-49,-24,-54
2020-07-10,20.3,50.835491214079,43,20,57,13,23,-47,-51,-45,-17,-54
2020-07-11,19.7,60.5743074012691,52,15,44,8,14,-16,-44,-47,-17,-53
2020-07-12,23.7,49.2390717758033,41,14,54,7,11,-9,-43,-52,-24,-55
2020-07-13,19.1,61.3865968384588,41,19,69,11,20,-49,-51,-43,-20,-50
2020-07-14,22.4,46.4746065769413,49,22,78,11,21,-51,-52,-44,-19,-47
2020-07-15,21.5,55.293815372129,58,26,73,12,21,-49,-50,-42,-12,-44
2020-07-16,21.5,52.0653030006005,64,26,72,9,21,-50,-50,-41,-13,-46
2020-07-17,21.1,48.8728425588334,57,35,56,8,21,-46,-50,-44,-15,-50
2020-07-18,18.1,69.9730638830045,66,32,59,9,13,-15,-42,-45,-15,-49
2020-07-19,23.75,44.2241441594992,74,NaN,56,7,9,-8,-41,-48,-20,-49
2020-07-20,19.95,49.9999212384817,NaN,25,79,14,19,-48,-50,-42,-19,-47
2020-07-21,20.6,59.2293349966077,64,21,75,12,21,-50,-51,-40,-19,-46
2020-07-22,21.3,56.4925899303342,57,16,74,10,21,-49,-51,-41,-19,-47
2020-07-23,20.2,58.7253806125299,43,22,82,10,21,-49,-51,-41,-19,-48
2020-07-25,19.55,64.1256101408848,53,19,93,10,13,-16,-42,-45,-19,-50
2020-07-26,17.2,83.1859870034749,54,12,35,10,10,-10,-42,-51,-25,-51
2020-07-27,19.7,65.4281811380002,40,15,41,10,19,-48,-50,-40,-20,-48
2020-07-28,24.9,52.1672816651466,40,9,23,7,20,-49,-51,-40,-20,-47
2020-07-29,20.5,67.3009389969406,34,13,27,16,21,-50,-51,-44,-20,-46
2020-07-30,22.5,51.5924691836167,40,25,63,17,20,-50,-49,-42,-16,-44
2020-07-31,21.4,62.0547082233739,66,17,32,14,21,-46,-47,-45,-14,-46
2020-08-01,16.8,79.231813908245,48,18,37,16,12,-15,-39,-43,-10,-44
2020-08-02,18.1,76.1291251277446,58,19,47,9,9,-8,-37,-48,-17,-44
